CODE ADHERENT;NOM FOURNISSEUR;TYPE DE PIECE;DOCUMENT NUMBER;DATE;LIGNE_FACTURE;FAMILLE;REF PRODUIT;LIBELEE PRODUIT;ETAT DEPOT;QUANTITE;VAT rate;PRIX D'ACHAT CATALOGUE HT;PRIX D'ACHAT REEL HT;PRIX D'ACHAT REEL TTC;DELIVERY NOTE NUMBER;DELIVERY NOTE Date;CUST.REF;ANCIEN N° SERIE ;N° SERIE
UNIS001;STARKEY;FA;21419425;2021-09-03;1;PR;63194-105;STARKEY LIVIO EDGE AI 2400 RIC R Slate;ACCEPTATION_DEPOT;1;0550;1425,00;505,00;532,78;3876510;2021-07-29;;;211164879
UNIS001;STARKEY;FA;21419425;2021-09-03;2;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;ACCEPTATION_DEPOT;1;0550;0,02;0,02;0,02;3876510;2021-07-29;;;
UNIS001;STARKEY;FA;21419425;2021-09-03;3;PR;63194-105;STARKEY LIVIO EDGE AI 2400 RIC R Slate;ACCEPTATION_DEPOT;1;0550;1425,00;505,00;532,78;3876510;2021-07-29;;;211164870
UNIS001;STARKEY;FA;21419425;2021-09-03;4;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;ACCEPTATION_DEPOT;1;0550;0,02;0,02;0,02;3876510;2021-07-29;;;
UNIS001;STARKEY;FA;21419425;2021-09-03;5;AC;43017-002;Mini Turbo Chargeur Starkey - RIC et BTE (2.4GHz et 900MHz);;1;0550;95,00;80,00;84,39;3894185;2021-09-01;;;2132400CHE
UNIS001;STARKEY;FA;21419425;2021-09-03;6;CONT;CONTENVT4;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;3894185;2021-09-01;;;
UNIS001;STARKEY;FA;21419425;2021-09-03;7;AC;43017-002;Mini Turbo Chargeur Starkey - RIC et BTE (2.4GHz et 900MHz);;1;0550;95,00;80,00;84,40;3894185;2021-09-01;;;212640805E
UNIS001;STARKEY;FA;21419425;2021-09-03;8;CONT;CONTENVT4;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;3894185;2021-09-01;;;
UNIS001;STARKEY;FA;21419425;2021-09-03;9;AC;43017-002;Mini Turbo Chargeur Starkey - RIC et BTE (2.4GHz et 900MHz);;1;0550;95,00;80,00;84,40;3894185;2021-09-01;;;2132400BEE
UNIS001;STARKEY;FA;21419425;2021-09-03;10;CONT;CONTENVT4;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;3894185;2021-09-01;;;
UNIS001;STARKEY;FA;21419425;2021-09-03;11;REPA;RRCICC2;FORFAIT REPARATION 2;;1;0550;123,00;55,00;58,03;3894545;2021-09-01;;;7017191668
UNIS001;STARKEY;FA;21419425;2021-09-03;12;REPA;RRRICM2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3894588;2021-09-01;;;191032795
UNIS001;STARKEY;FA;21419425;2021-09-03;13;REPA;RRRICR2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3894884;2021-09-02;;;200618440
UNIS001;STARKEY;FA;21419425;2021-09-03;14;REPA;RRRICM2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3895200;2021-09-02;;;191034836
UNIS001;STARKEY;FA;21419425;2021-09-03;15;REPA;RRRICM2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3895201;2021-09-02;;;191034843
UNIS001;STARKEY;FA;21419425;2021-09-03;16;REPA;RRRICM2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3895204;2021-09-02;;;200357920
UNIS001;STARKEY;FA;21419425;2021-09-03;17;FA;REZACC;REP NON EFFECTUEE ACC SANS FIL;;1;0550;0,00;0,00;0,00;3895985;2021-09-03;;210455723;201566150
UNIS001;STARKEY;FA;21419425;2021-09-03;18;FA;REZACC;REP NON EFFECTUEE ACC SANS FIL;;1;0550;0,00;0,00;0,00;3895986;2021-09-03;;210354898;201270527
532;STARKEY;FA;21419426;2021-09-03;1;REPA;RRIICR2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3894027;2021-09-01;;;7021311005
UNIS002;STARKEY;FA;21419427;2021-09-03;1;REPA;RRCICR2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3894135;2021-09-01;;;7018231691
UNIS002;STARKEY;FA;21419427;2021-09-03;2;PT;PT14;RETOUR TNT FRANCE;;1;2000;9,80;9,80;11,76;3894801;2021-09-02;;;
UNIS002;STARKEY;FA;21419427;2021-09-03;3;AC;12522-000;BOITE DE 8 PROTECTIONS ECOUTEUR (HearClear);;10;0550;3,60;36,00;37,98;3894801;2021-09-02;;;
UNIS002;STARKEY;FA;21419427;2021-09-03;4;PT;PT14;RETOUR TNT FRANCE;;1;2000;9,80;9,80;11,76;3895158;2021-09-02;;;
UNIS002;STARKEY;FA;21419427;2021-09-03;5;AC;12522-000;BOITE DE 8 PROTECTIONS ECOUTEUR (HearClear);;10;0550;3,60;36,00;37,98;3895408;2021-09-03;;;
UNIS002;STARKEY;FA;21419427;2021-09-03;6;REPA;RRIICR2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3895718;2021-09-03;;;7018511236
UNIS002;STARKEY;FA;21419427;2021-09-03;7;REPA;RRIICR2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3895718;2021-09-03;;;7018511235
UNIS004;STARKEY;FA;21419428;2021-09-03;1;EMB;EM2140;STARKEY PERFORMER 25;;1;2000;52,50;30,00;36,00;3894222;2021-09-01;;;EF21340395
UNIS004;STARKEY;FA;21419428;2021-09-03;2;EMB;EM2140;STARKEY PERFORMER 25;;1;2000;52,50;30,00;36,00;3894222;2021-09-01;;;EF21340394
UNIS004;STARKEY;FA;21419428;2021-09-03;3;PT;PT14;RETOUR TNT FRANCE;;1;2000;9,80;9,80;11,76;3894222;2021-09-01;;;
UNIS004;STARKEY;FA;21419428;2021-09-03;4;REPA;RRCICM2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3895900;2021-09-03;;;7019051611
GA001;STARKEY;FA;21419429;2021-09-03;1;REPA;RRCCR2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3894308;2021-09-01;;;7020400422
INNO001;STARKEY;FA;21419430;2021-09-03;1;REPA;RRIICR2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3894337;2021-09-01;;;7021151206
INNO001;STARKEY;FA;21419430;2021-09-03;2;REPA;RRIICM2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3894337;2021-09-01;;;7021151205
INNO001;STARKEY;FA;21419430;2021-09-03;3;PR;1SYVN7N;STARKEY SOUNDLENS SYNERGY IQ 1600;;1;0550;885,00;409,75;432,29;3894979;2021-09-02;;;7021351245
INNO001;STARKEY;FA;21419430;2021-09-03;4;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;3894979;2021-09-02;;;
INNO001;STARKEY;FA;21419430;2021-09-03;5;PR;1SYVN7N;STARKEY SOUNDLENS SYNERGY IQ 1600;;1;0550;885,00;409,75;432,29;3894979;2021-09-02;;;7021351244
INNO001;STARKEY;FA;21419430;2021-09-03;6;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;3894979;2021-09-02;;;
INNO001;STARKEY;FA;21419430;2021-09-03;7;AC;53270-005;10 EMBOUTS DOME CONFORT OUVERT 11MM;;2;0550;7,50;15,00;15,83;3895390;2021-09-03;;;
